sub_region,census_fips_code,place_id,date,user_id,place,percent_change_from_baseline
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-01,016,workplaces,-2
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-02,017,retail and recreation,24
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-02,017,grocery and pharmacy,19
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-02,017,parks,22
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-02,017,transit stations,13
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-02,017,workplaces,10
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-02,017,residential,-3
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-03,018,retail and recreation,11
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-03,018,grocery and pharmacy,16
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-03,018,parks,17
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-03,018,transit stations,16
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-03,018,workplaces,4
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-03,018,residential,-2
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-04,019,retail and recreation,22
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-04,019,grocery and pharmacy,15
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-04,019,parks,34
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-04,019,transit stations,16
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-04,019,workplaces,3
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-04,019,residential,-2
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-05,020,retail and recreation,22
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-05,020,grocery and pharmacy,19
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-05,020,parks,26
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-05,020,transit stations,18
